Path: /teams/Manchester%20United/played, Response status: done, matches found: 1
Path: /teams/Manchester%20United/played, Response status: done, matches found: 1
Path: /tournaments/fa, Response status: done, matches found: 8
Path: /tournaments/fa, Response status: done, matches found: 8
Path: /tournaments/fa/played, Response status: done, matches found: 4
Path: testing/url, Response status: done, matches found: 3
Path: testing/url, Response status: error, matches found: 0
Path: testing/url, Response status: done, matches found: 3
Path: testing/url, Response status: error, matches found: 0
Path: testing/url, Response status: done, matches found: 3
Path: testing/url, Response status: error, matches found: 0
Path: testing/url, Response status: done, matches found: 3
Path: testing/url, Response status: error, matches found: 0
Path: /tournaments/fa/played, Response status: done, matches found: 4
Path: /tournaments/fa/played, Response status: done, matches found: 4
Path: /tournaments/fa/played, Response status: done, matches found: 4
Path: /tournaments/fa/played, Response status: done, matches found: 4
Path: /tournaments/fa/playeda, Response status: done, matches found: 0
Path: /tournaments/fa/playe, Response status: done, matches found: 0
Path: /tournaments/fa/played, Response status: done, matches found: 4
Path: /tournaments/fa/played, Response status: done, matches found: 4
Path: /tournaments/fa/played, Response status: done, matches found: 4
Path: /tournaments/fa, Response status: done, matches found: 8
Path: /tournaments/fa, Response status: done, matches found: 8
Path: /teams/Manchester%20United, Response status: done, matches found: 3
Path: /teams/Manchester%20United, Response status: done, matches found: 3
Path: /teams/Arsenal, Response status: done, matches found: 3
Path: /teams/Arsenal, Response status: done, matches found: 3
Path: /teams/Arsenala, Response status: done, matches found: 0
Path: /teams/aaa, Response status: done, matches found: 0
Path: testing/url, Response status: done, matches found: 3
Path: testing/url, Response status: error, matches found: 0
Path: testing/url, Response status: done, matches found: 3
Path: testing/url, Response status: error, matches found: 0
Path: /teams/Manchester%20United, Response status: done, matches found: 3
Path: /teams/Manchester%20United, Response status: done, matches found: 3
Path: /teams/Manchester%20United, Response status: done, matches found: 3
Path: /teams/Manchester%20United, Response status: done, matches found: 3
Path: /teams/Arsenal, Response status: done, matches found: 3
Path: /teams/Arsenal, Response status: done, matches found: 3
Path: /teams/Arsenal, Response status: done, matches found: 3
Path: /teams/Arsenal/played, Response status: done, matches found: 1
Path: /teams/Arsenal/played, Response status: done, matches found: 1
Path: /teams/Chelsea, Response status: done, matches found: 1
Path: /teams/Chelsea, Response status: done, matches found: 1
Path: /teams/Arsenal/played, Response status: done, matches found: 1
Path: /tournaments/fa/played, Response status: done, matches found: 4
Path: /tournaments/fa/played, Response status: done, matches found: 4
Path: /teams/Chelsea, Response status: done, matches found: 42
Path: /teams/Arsenal/played, Response status: done, matches found: 29
Path: /teams/Chelsea, Response status: done, matches found: 42
Path: /teams/Manchester%20United/upcoming, Response status: done, matches found: 13
Path: /tournaments/fa/played, Response status: done, matches found: 138
Path: /tournaments/fa/played, Response status: done, matches found: 138
Path: /teams/Manchester%20United, Response status: done, matches found: 41
Path: /matches/ongoing, Response status: done, matches found: 0
Path: /matches/ongooing, Response status: done, matches found: 0
Path: /matches/ongooing, Response status: done, matches found: 0
Path: /matches/ongooing, Response status: done, matches found: 0
Path: /matches/ongooing, Response status: done, matches found: 0
Path: /matches/ongooing, Response status: done, matches found: 0
Path: /matches/ongooing, Response status: done, matches found: 0
Path: /matches/ongooing, Response status: done, matches found: 0
Path: /matches/ongooing, Response status: done, matches found: 0
Path: /matches/ongooing, Response status: done, matches found: 0
Path: /matches/ongooing, Response status: done, matches found: 0
Path: /matches/ongooing, Response status: done, matches found: 0
Path: /matches/ongooing, Response status: done, matches found: 0
Path: /matches/ongooing, Response status: done, matches found: 0
Path: /matches/ongooing, Response status: done, matches found: 0
Path: /matches/ongooing, Response status: done, matches found: 0
Path: /matches/ongooing, Response status: done, matches found: 0
Path: /matches/ongooing, Response status: done, matches found: 0
Path: /matches/ongooing, Response status: done, matches found: 0
Path: /matches/ongooing, Response status: done, matches found: 0
Path: /matches/ongooing, Response status: done, matches found: 0
Path: /matches/ongooing, Response status: done, matches found: 0
Path: /matches/ongooing, Response status: done, matches found: 0
Path: /matches/ongooing, Response status: done, matches found: 0
Path: /matches/ongooing, Response status: done, matches found: 0
Path: /matches/ongooing, Response status: done, matches found: 0
Path: /matches/ongooing, Response status: done, matches found: 0
Path: /matches/ongooing, Response status: done, matches found: 0
Path: /matches/ongooing, Response status: done, matches found: 0
Path: /matches/ongooing, Response status: done, matches found: 0
Path: /matches/ongooing, Response status: done, matches found: 0
Path: /matches/ongooing, Response status: done, matches found: 0
Path: /matches/ongooing, Response status: done, matches found: 0
Path: /matches/ongooing, Response status: done, matches found: 0
Path: /matches/ongooing, Response status: done, matches found: 0
Path: /matches/ongooing, Response status: done, matches found: 0
Path: /matches/ongooing, Response status: done, matches found: 0
Path: /matches/ongooing, Response status: done, matches found: 0
Path: /matches/ongooing, Response status: done, matches found: 0
Path: /matches/ongooing, Response status: done, matches found: 0
Path: /matches/ongooing, Response status: done, matches found: 0
Path: /matches/ongooing, Response status: done, matches found: 0
Path: /matches/ongooing, Response status: done, matches found: 0
Path: /matches/ongooing, Response status: done, matches found: 0
Path: /matches/ongooing, Response status: done, matches found: 0
Path: /matches/ongooing, Response status: done, matches found: 0
Path: /matches/ongooing, Response status: done, matches found: 0
Path: /matches/ongooing, Response status: done, matches found: 0
Path: /matches/ongooing, Response status: done, matches found: 0
Path: /matches/ongoing, Response status: done, matches found: 12
Path: /matches/ongoing, Response status: done, matches found: 0
Path: /matches/ongoing, Response status: done, matches found: 12
Path: /matches/ongoing, Response status: done, matches found: 0
Path: /matches/ongoing, Response status: done, matches found: 12
Path: /matches/ongoing, Response status: done, matches found: 0
Path: /matches/ongoing, Response status: done, matches found: 12
Path: /matches/ongoing, Response status: done, matches found: 0
Path: /matches/ongoing, Response status: done, matches found: 12
Path: /matches/ongoing, Response status: done, matches found: 0
Path: /matches/ongoing, Response status: done, matches found: 12
Path: /matches/ongoing, Response status: done, matches found: 0
Path: /matches/ongoing, Response status: done, matches found: 12
Path: /matches/ongoing, Response status: done, matches found: 0
Path: /matches/ongoing, Response status: done, matches found: 12
Path: /matches/ongoing, Response status: done, matches found: 0
Path: /matches/ongoing, Response status: done, matches found: 12
Path: /matches/ongoing, Response status: done, matches found: 12
Path: /matches/ongoing, Response status: done, matches found: 12
Path: /matches/ongoing, Response status: done, matches found: 12
Path: /matches/ongoing, Response status: done, matches found: 12
Path: /matches/ongoing, Response status: done, matches found: 12
Path: /matches/ongoing, Response status: done, matches found: 12
Path: /matches/ongoing, Response status: done, matches found: 0
Path: /matches/ongoing, Response status: done, matches found: 12
Path: /matches/ongoing, Response status: done, matches found: 0
Path: /matches/ongoing, Response status: done, matches found: 12
Path: /matches/ongoing, Response status: done, matches found: 12
Path: /matches/ongoing, Response status: done, matches found: 12
Path: /matches/ongoing, Response status: done, matches found: 12
Path: /matches/ongoing, Response status: done, matches found: 12
Path: /matches/ongoing, Response status: done, matches found: 0
Path: /matches/ongoing, Response status: done, matches found: 12
Path: /matches/ongoing, Response status: done, matches found: 0
Path: /matches/ongoing, Response status: done, matches found: 12
Path: /matches/ongoing, Response status: done, matches found: 12
Path: /matches/ongoing, Response status: done, matches found: 12
Path: /matches/ongoing, Response status: done, matches found: 12
Path: /matches/ongoing, Response status: done, matches found: 0
Path: /matches/ongoing, Response status: done, matches found: 12
Path: /matches/ongoing, Response status: done, matches found: 0
Path: /matches/ongoing, Response status: done, matches found: 12
Path: /matches/ongoing, Response status: done, matches found: 12
Path: /matches/ongoing, Response status: done, matches found: 12
Path: /matches/ongoing, Response status: done, matches found: 12
Path: /matches/ongoing, Response status: done, matches found: 12
Path: /matches/ongoing, Response status: done, matches found: 12
Path: /matches/ongoing, Response status: done, matches found: 12
Path: /matches/ongoing, Response status: done, matches found: 12
Path: /matches/ongoing, Response status: done, matches found: 12
Path: /matches/ongoing, Response status: done, matches found: 12
